LONGITUDE,LATITUDE,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,COMMENT,URL,Active
-87.57584,33.22428,240,248,Living Praise Worship Center, ,Church,177.17, ,,1
-87.57306,33.22428,241,249,First Colored Baptist Church of Northport, ,Church,173.88, ,,1
-87.59112,33.22567,242,250,AOH Church of God, ,Church,150.92, ,,1
-87.4875,33.22623,243,251,Hurricane Baptist Church, ,Church,305.12, ,,1
-87.57195,33.22706,244,252,New Zion Baptist Church, ,Church,180.45, ,,1
-87.4875,33.22928,247,255,Weeping Mary African Methodist Episcopal Zion Church, ,Church,364.17, ,,1
-87.62556,33.22956,248,256,New Prospect Baptist Church, ,Church,157.48, ,,1
-87.54806,33.23012,249,257,Open Door Baptist Church, ,Church,177.17, ,,1
-87.58584,33.23012,250,258,Mount Galilee Baptist Church, ,Church,213.25, ,,1
-87.54195,33.23067,251,259,Robertson Chapel Baptist Church, ,Church,229.66, ,,1
-87.5839,33.23067,252,260,Northport Church of Christ, ,Church,209.97, ,,1
-87.53501,33.23151,254,262,First Wesleyan Church, ,Church,223.1, ,,1
-87.57612,33.2329,257,265,First Freewill Baptist Church, ,Church,229.66, ,,1
-87.57695,33.23317,259,267,Northport Church of God, ,Church,226.38, ,,1
-87.47973,33.23401,260,268,Church of the Nazarene, ,Church,370.73, ,,1
-87.5764,33.2354,261,269,Revelation Rock Church, ,Church,206.69, ,,1
-87.57251,33.23623,262,270,Saint Mark United Methodist Church, ,Church,219.82, ,,1
-87.4975,33.23873,265,273,Holt United Methodist Church, ,Church,285.43, ,,1
-87.49528,33.23901,266,274,Holt Baptist Church, ,Church,308.4, ,,1
-87.57473,33.24095,267,275,Northwood Hills Baptist Church, ,Church,187.01, ,,1
-87.55112,33.24123,268,276,Indian Lake Baptist Church, ,Church,259.19, ,,1
-87.48556,33.24151,269,277,Saint John African Methodist Episcopal Church, ,Church,354.33, ,,1
-87.63306,33.24178,272,280,Pinehaven Church, ,Church,190.29, ,,1
-87.59306,33.24206,273,281,Five Points Baptist Church, ,Church,239.5, ,,1
-87.59306,33.24206,274,282,Morning Star Church, ,Church,239.5, ,,1
-87.55334,33.24234,275,283,Rices Valley Church, ,Church,255.91, ,,1
-87.49028,33.2429,278,286,Morning Star Baptist Church, ,Church,305.12, ,,1
-87.58529,33.2454,280,288,Evening Lights Church of God, ,Church,298.56, ,,1
-87.62806,33.24762,286,294,Jennings Chapel United Methodist Church, ,Church,236.22, ,,1
-87.54751,33.2504,290,299,Springhill African Methodist Episcopal Zion Church, ,Church,291.99, ,,1
-87.54751,33.25095,292,301,Beulah Baptist Church, ,Church,295.28, ,,1
-87.63056,33.2529,295,304,Flatwoods Baptist Church, ,Church,288.71, ,,1
-87.51389,33.25706,298,308,Covenant Assembly Church, ,Church,305.12, ,,1
-87.57195,33.2579,299,310,Union Chapel United Methodist Church, ,Church,272.31, ,,1
-87.5889,33.27289,306,318,AG Hinton Full Gospel Deliverance Church, ,Church,360.89, ,,1
-87.60029,33.28151,315,328,Chapel Hill Baptist Church, ,Church,285.43, ,,1
